Zaman damgası,Kullanıcı Adı,Age Group / Yaş Aralığınız ,  Gender / Cinsiyet  ,"How many hours per day do you use social media on average? 
/ Günde ortalama kaç saat sosyal medya kullanıyorsunuz?","Which social media platforms do you actively use? 
/ Aktif olarak hangi sosyal medya platformlarını kullanıyorsunuz?","Do you encounter travel-related posts on social media? 
/ Sosyal medyada seyahatle ilgili paylaşımlara denk geliyor musunuz?","Have you ever discovered a place (restaurant/cafe, exhibition etc) you wanted to visit through social media? 
/ Sosyal medya sayesinde gitmek istediğiniz bir yer (restoran, kafe, sergi vb.) keşfettiniz mi?","What type of travel content influences you the most?
/ Sizi en çok etkileyen seyahat içerikleri hangileridir?","Do you encounter location specific food/event recommendation posts on social media? 
/ Sosyal medyada belirli bir yerle ilgili yemek/etkinlik öneren paylaşımlara rastlıyor musunuz?","When you see a travel-related post you like, what do you usually do?
/ Beğendiğiniz bir seyahat paylaşımı gördüğünüzde genellikle ne yaparsınız?","Do you use saved posts as a reference when planning a trip?
/ Seyahat planlarken kaydettiğiniz gönderileri referans olarak kullanır mısınız?","Before visiting a destination, do you remember travel posts you previously saw?
/ Bir mekana gitmeden önce daha önce gördüğünüz seyahat paylaşımlarını hatırlar mısınız?","How do you usually find those places again?
/ Bu yerleri tekrar nasıl bulursunuz?","Have you ever forgotten or lost a place you wanted to visit because you couldn’t find the post again?
/ Gönderiyi tekrar bulamadığınız için gitmek istediğiniz bir yeri unuttuğunuz veya kaybettiğiniz oldu mu? ","Do you think social media contains up-to-date and local travel trends?
/ Sosyal medyanın güncel ve yerel seyahat trendlerini yansıttığını düşünüyor musunuz?","Would you use a system that automatically collects, organizes, and suggests trending places from social media?
/ Sosyal medyadaki trend yerleri otomatik olarak toplayan, düzenleyen ve öneren bir sistemi kullanır mıydınız?"," What would be the biggest benefit of such a system for you?
/ Böyle bir sistemin sizin için en büyük faydası ne olurdu?"
2025/12/26 11:24:06 ÖÖ GMT+3,,25-34,Female / Kadın,Less than 1 hour / 1 saatten az,Instagram;YouTube;WhatsApp,3,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım;Screenshot / Ekran görüntüsü alırım,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,"Derli toplu ve içeriğe göre tasniflenmiş bir veriye erişmek zihnimi toparlar ve bilgiye ulaşmamı hızlandırır, kolaylaştırıcı olur."
2025/12/26 11:58:05 ÖÖ GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Send it to friends / Arkadaşlarıma gönderirim;Do nothing / Hiçbir şey yapmam,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 11:58:06 ÖÖ GMT+3,,35-44,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım;Screenshot / Ekran görüntüsü alırım,3,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,Pratiklik ve daha çok yer görme 
2025/12/26 12:09:03 ÖS GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube,4,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,1,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 12:09:58 ÖS GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Screenshot / Ekran görüntüsü alırım,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Definitely yes / Kesinlikle evet,Tek bir araç ile tüm yerleri görebilirdi 
2025/12/26 12:11:09 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube;X (Twitter),3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,Seyahatlerimi daha düzenli planlayabilmek
2025/12/26 12:25:59 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,4,No / Hayır,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,1- zaman kazanırdım 2- keşfetmediğim yerleri görebilirdim. 3- puanlama sistemi de olursa rahatlıkla karar verebilirim.
2025/12/26 12:37:33 ÖS GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,3,Save the post / Gönderiyi kaydederim,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,
2025/12/26 12:40:06 ÖS GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;X (Twitter),4,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak,Yes / Evet,Partially / Kısmen,Not sure / Emin değilim,
2025/12/26 12:41:02 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller,4,Save the post / Gönderiyi kaydederim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,"“Beşiktaş yemek öneri”, “Suadiye tatlı” diyr TikTok’ta yaptığım aramalara hür alternatif olması güzel olabilirdi"
2025/12/26 12:43:31 ÖS GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,Instagram,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak,No / Hayır,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/26 12:48:14 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Screenshot / Ekran görüntüsü alırım,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;I cannot find them again / Tekrar bulamıyorum,No / Hayır,Partially / Kısmen,Definitely yes / Kesinlikle evet,
2025/12/26 12:54:52 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram,4,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler,3,Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,No / Hayır,
2025/12/26 1:05:26 ÖS GMT+3,,25-34,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,4,Do nothing / Hiçbir şey yapmam,2,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Zaman kazanımı
2025/12/26 1:09:20 ÖS GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,Instagram,4,"Yes, occasionally / Evet, bazen",Museums & exhibitions / Müze & sergiler,4,Send it to friends / Arkadaşlarıma gönderirim,1,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak,No / Hayır,No / Hayır,Definitely yes / Kesinlikle evet,
2025/12/26 1:09:24 ÖS GMT+3,,18-24,Female / Kadın,Less than 1 hour / 1 saatten az,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,This project makes it easier to plan a trip by reducing the time required to collect desired suggestions from social media.
2025/12/26 1:40:48 ÖS GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,Instagram;YouTube,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım;Screenshot / Ekran görüntüsü alırım,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Partially / Kısmen,Definitely yes / Kesinlikle evet,"Seyahat planı oluştururken zaman tasarrufu, derli toplu arşiv tutmak."
2025/12/26 1:43:10 ÖS GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube;X (Twitter),2,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller,2,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,Gitmek istediğim yerler daha planlı olduğu için daha hızlı karar verip daha çok gezen biri olmama olanak sağlardı.
2025/12/26 1:47:04 ÖS GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube;X (Twitter),3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,3,Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım,1,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,Gezip görebileceğim yerler adına seçeneklerimin benim araştırmalarım dışında da olduğu bir sistem bakış açımı genişletir ve gezeceğim yerler listesine katkı sağlardı.
2025/12/26 1:50:03 ÖS GMT+3,,18-24,Female / Kadın,Less than 1 hour / 1 saatten az,YouTube,2,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,2,Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Asking friends / Arkadaşlara sorarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,Seyahat planlarım benim görüşümle sınırlı kalmayıp güncel planlara ve rağbet gören yerlere doğru açılmış olurdu.
2025/12/26 1:51:27 ÖS GMT+3,,35-44,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube;Facebook,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım;Screenshot / Ekran görüntüsü alırım,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/26 1:54:17 ÖS GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,YouTube,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,2,"Yes, clearly / Evet, net bir şekilde",Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,Zaman tasarrufu
2025/12/26 2:05:05 ÖS GMT+3,,18-24,Male / Erkek,3-4 hours / 3-4 saat,YouTube;X (Twitter),4,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,"Tekrar bulmakta zorlandığım konumlara ulaşabilmek, farklı gönderiler aracılığıyla birden çok kez kaydettiğim konumları daha üst sıralarda görebilmek faydalı olurdu."
2025/12/26 2:13:17 ÖS GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,Instagram,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller,2,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım,4,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Asking friends / Arkadaşlara sorarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,Kalabalığın nerelerde takıldığını görme şansım olurdu ve muhtemelen o kalabalıktan kaçınırdım. 
2025/12/26 2:27:33 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,YouTube;X (Twitter);Whatsapp,2,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Daha toplu bir şekilde temaya özel olacağı için gidebileceğim veya ilgimi çeken yerleri daha hızlı bulabilirim. 
2025/12/26 3:01:09 ÖS GMT+3,,45+,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube;X (Twitter),4,No / Hayır,Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,2,Do nothing / Hiçbir şey yapmam,4,Partially / Kısmen,Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,No / Hayır,
2025/12/26 3:21:05 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube;X (Twitter),3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,"Minimal arayüz çok iş görür, Instagram, Tiktok gibi farklı mecralarda kaydetmek kafa karışıklığı sağlıyor. Ayrıca konu başlıkları olulturabilmek ve kişiselleştirme ile listeler oluşturmak faydalı olur."
2025/12/26 3:24:21 ÖS GMT+3,,18-24,Male / Erkek,Less than 1 hour / 1 saatten az,YouTube,3,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Like or comment / Beğenir veya yorum yaparım,2,Partially / Kısmen,I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/26 3:57:43 ÖS GMT+3,,18-24,Female / Kadın,5+ hours / 5 saatten fazla,Instagram,4,"Yes, occasionally / Evet, bazen",Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Not sure / Emin değilim,Kolay karar vermeme yardımcı olurdu
2025/12/26 4:08:32 ÖS GMT+3,,18-24,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;YouTube;X (Twitter),3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak,No / Hayır,Partially / Kısmen,Not sure / Emin değilim,Belirli bir bölgede gitmek şsteyebileceğim yerleri daha kolay bulur ve kaybetmezdim.
2025/12/26 4:18:11 ÖS GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,YouTube,2,No / Hayır,Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Screenshot / Ekran görüntüsü alırım,3,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Herhangi bir yere giderken detaylı bir araştırmaya gerek kalmadan kolaylıkla güzel yerleri bulabilirdim. Ancak işbirlikleri de bu tarz bir uygulamayı bozabilir ve güvenini zedeleyebilir diye düşünüyorum çok objektif olmalı
2025/12/26 5:38:22 ÖS GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,YouTube,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar,2,Do nothing / Hiçbir şey yapmam,4,No / Hayır,Asking friends / Arkadaşlara sorarak,Yes / Evet,Partially / Kısmen,Not sure / Emin değilim,
2025/12/26 6:22:02 ÖS GMT+3,,35-44,Female / Kadın,1-2 hours / 1-2 saat,Instagram,2,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar,2,Screenshot / Ekran görüntüsü alırım,3,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak,No / Hayır,Yes / Evet,Definitely yes / Kesinlikle evet,Pratik olurdu zaman kazandırır.
2025/12/26 7:53:30 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube,2,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 8:20:58 ÖS GMT+3,,25-34,Female / Kadın,5+ hours / 5 saatten fazla,YouTube,3,"Yes, occasionally / Evet, bazen",Events & festivals / Etkinlikler & festivaller,4,Save the post / Gönderiyi kaydederim,3,No / Hayır,Checking saved posts / Kaydedilen gönderilere bakarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,"Pratiklik, kolay erişim"
2025/12/26 8:49:37 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,YouTube,3,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,No / Hayır,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,Sosyal medyada arayarak vakit kaybetmemiş olurum. 
2025/12/26 9:16:24 ÖS GMT+3,,13-18,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;TikTok,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar,3,Send it to friends / Arkadaşlarıma gönderirim,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Not sure / Emin değilim,Kolaylik saglardi
2025/12/26 9:22:26 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,3,"Yes, frequently / Evet, sık sık",Museums & exhibitions / Müze & sergiler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Not sure / Emin değilim,Tüm bu yerlerin bir arada olması işimi kolaylaştırır. Ama bunu zaten Google Map üzerinden sağlıyorum. Belki instagramdan direkt onunla paylaşabileceğim bir uygulama olursa daha iyi olabilir ve her yeni bir yer keşfettiğimde diğer uygulamaya girip adını yazıp kaydetmekten daha pratik bir yol olması uygulamayı cazip kılabilir. Ayrıca uygulamanın etkileşime açık olması da oldukça güzel olur. Önerilen mekanların puanlanması ve yoruma açık olması gibi… 
2025/12/26 10:53:42 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube;,3,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım;Screenshot / Ekran görüntüsü alırım,2,"Yes, clearly / Evet, net bir şekilde",Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Seyhat severler icin kolaylık sağlanmiş olurdu
2025/12/27 10:22:06 ÖÖ GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;X (Twitter),4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,4,"Yes, clearly / Evet, net bir şekilde",Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/27 3:08:09 ÖS GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Probably yes / Muhtemelen evet,
2025/12/27 8:19:11 ÖS GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;X (Twitter),3,"Yes, frequently / Evet, sık sık",Local experiences / Yerel deneyimler,2,Save the post / Gönderiyi kaydederim,2,Partially / Kısmen,I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/28 12:03:52 ÖS GMT+3,,18-24,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,4,No / Hayır,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
